,学习率,最大树深度,最小采样叶子节点,样本采样率,最大叶子节点,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,13
1339,0.01,7,7,0.875,14,0.660723675,0.82298975,0.147973897,0.205882899,0.27611661,0.170766043,0.118008508,0.173761745,automl\GBM_AutoMl_1339
5305,0.0775,5,9,0.5,10,0.660658734,0.710985423,0.159225665,0.20840865,0.360079513,0.071904874,0.250196943,0.29928383,automl\GBM_AutoMl_5305
52,0.01,3,6,0.5,7,0.66065864,0.855049427,0.133534341,0.243329432,0.418430974,0.15577866,0.103198361,0.164448908,automl\GBM_AutoMl_52
928,0.01,6,5,0.75,13,0.660584781,0.814297995,0.146122606,0.219106911,0.276641466,0.190339634,0.134394202,0.193270647,automl\GBM_AutoMl_928
828,0.01,5,9,0.75,13,0.660542324,0.828314952,0.142205322,0.248388772,0.294012619,0.225576848,0.143374823,0.204448439,automl\GBM_AutoMl_828
4155,0.055,6,10,0.5,10,0.660420508,0.752454091,0.15074643,0.219067362,0.401961654,0.054462499,0.198046321,0.259041731,automl\GBM_AutoMl_4155
807,0.01,5,9,0.5,12,0.660109989,0.828355036,0.141111416,0.250012222,0.379463944,0.169104895,0.140696392,0.203208556,automl\GBM_AutoMl_807
4459,0.055,7,10,0.5,14,0.660070713,0.733659153,0.154457218,0.198592696,0.357129554,0.055909524,0.199306759,0.259673612,automl\GBM_AutoMl_4459
978,0.01,6,6,0.75,13,0.660022563,0.812308452,0.146578133,0.218910713,0.276641466,0.190045336,0.134394202,0.193270647,automl\GBM_AutoMl_978
949,0.01,6,5,1,14,0.660022164,0.82136707,0.146939439,0.238566768,0.256295087,0.229702608,0.139278399,0.204227793,automl\GBM_AutoMl_949
999,0.01,6,6,1,14,0.660022164,0.82136707,0.146939439,0.238566768,0.256295087,0.229702608,0.139278399,0.204227793,automl\GBM_AutoMl_999
1049,0.01,6,7,1,14,0.660022164,0.82136707,0.146939439,0.238566768,0.256295087,0.229702608,0.139278399,0.204227793,automl\GBM_AutoMl_1049
1099,0.01,6,8,1,14,0.660022164,0.82136707,0.146939439,0.238566768,0.256295087,0.229702608,0.139278399,0.204227793,automl\GBM_AutoMl_1099
1059,0.01,6,8,0.5,14,0.660007238,0.800965746,0.147908514,0.208910431,0.288394936,0.159232615,0.13565464,0.195882152,automl\GBM_AutoMl_1059
4456,0.055,7,10,0.5,11,0.659948884,0.782406525,0.14735888,0.245908012,0.434057628,0.076573357,0.195683,0.250655903,automl\GBM_AutoMl_4456
767,0.01,5,8,0.625,12,0.65988017,0.827356578,0.141585935,0.234028375,0.333657416,0.184213854,0.129510005,0.187778412,automl\GBM_AutoMl_767
344,0.01,4,5,1,9,0.659807288,0.827734679,0.139067137,0.251718229,0.410151763,0.15269727,0.142587049,0.202279839,automl\GBM_AutoMl_344
394,0.01,4,6,1,9,0.659807288,0.827734679,0.139067137,0.251718229,0.410151763,0.15269727,0.142587049,0.202279839,automl\GBM_AutoMl_394
444,0.01,4,7,1,9,0.659807288,0.827734679,0.139067137,0.251718229,0.410151763,0.15269727,0.142587049,0.202279839,automl\GBM_AutoMl_444
494,0.01,4,8,1,9,0.659807288,0.827734679,0.139067137,0.251718229,0.410151763,0.15269727,0.142587049,0.202279839,automl\GBM_AutoMl_494
605,0.01,5,5,0.5,10,0.659713907,0.81957243,0.143392301,0.227991482,0.300391691,0.191791378,0.127461793,0.190666981,automl\GBM_AutoMl_605
655,0.01,5,6,0.5,10,0.659713907,0.81957243,0.143392301,0.227991482,0.300391691,0.191791378,0.127461793,0.190666981,automl\GBM_AutoMl_655
1218,0.01,7,5,0.625,13,0.659634382,0.799186115,0.146743439,0.18569853,0.292396435,0.132349577,0.116590515,0.171793384,automl\GBM_AutoMl_1218
615,0.01,5,5,0.625,10,0.659622551,0.831879712,0.141672029,0.237780359,0.316463211,0.198438933,0.124940917,0.186062881,automl\GBM_AutoMl_615
855,0.01,5,10,0.5,10,0.659565416,0.821133,0.143111627,0.240088889,0.312644037,0.203811316,0.134236647,0.200329179,automl\GBM_AutoMl_855
1469,0.01,7,10,0.625,14,0.659502359,0.780850481,0.149420644,0.17930759,0.273282655,0.132320057,0.128249567,0.185887189,automl\GBM_AutoMl_1469
809,0.01,5,9,0.5,14,0.659478873,0.839710201,0.13789397,0.254496779,0.380800975,0.175556657,0.131243107,0.190596042,automl\GBM_AutoMl_809
4107,0.055,6,9,0.5,12,0.659420093,0.750005026,0.151793377,0.20675779,0.36097927,0.067958457,0.188908146,0.246226512,automl\GBM_AutoMl_4107
705,0.01,5,7,0.5,10,0.659414771,0.815398943,0.144328863,0.226632929,0.304664374,0.187617206,0.12935245,0.193221935,automl\GBM_AutoMl_705
968,0.01,6,6,0.625,13,0.659383146,0.823236263,0.142577917,0.234256737,0.370455888,0.149132267,0.131400662,0.191130973,automl\GBM_AutoMl_968
1359,0.01,7,8,0.5,14,0.65919361,0.792755352,0.14919372,0.195876421,0.25923983,0.15627429,0.128879786,0.189089228,automl\GBM_AutoMl_1359
544,0.01,4,9,1,9,0.659151678,0.827918965,0.138676717,0.255407724,0.399341285,0.165449248,0.142902159,0.202772189,automl\GBM_AutoMl_544
594,0.01,4,10,1,9,0.659151678,0.827918965,0.138676717,0.255407724,0.399341285,0.165449248,0.142902159,0.202772189,automl\GBM_AutoMl_594
1258,0.01,7,6,0.5,13,0.659134001,0.816420159,0.144676677,0.223524423,0.329208839,0.157471663,0.128249567,0.188316946,automl\GBM_AutoMl_1258
1257,0.01,7,6,0.5,12,0.659018984,0.805352669,0.147074866,0.198672456,0.257164739,0.169426314,0.118166063,0.176470588,automl\GBM_AutoMl_1257
1039,0.01,6,7,0.875,14,0.658990212,0.835438036,0.143743835,0.297739906,0.336641383,0.273426483,0.168741138,0.242006553,automl\GBM_AutoMl_1039
906,0.01,6,5,0.5,11,0.658954215,0.800994865,0.146534747,0.220199047,0.334640884,0.162978128,0.136757523,0.201555788,automl\GBM_AutoMl_906
956,0.01,6,6,0.5,11,0.658898286,0.800954928,0.14660255,0.223101507,0.332381349,0.168461586,0.13864818,0.204342273,automl\GBM_AutoMl_956
1006,0.01,6,7,0.5,11,0.658898286,0.800954928,0.14660255,0.223101507,0.332381349,0.168461586,0.13864818,0.204342273,automl\GBM_AutoMl_1006
888,0.01,5,10,0.875,13,0.658898159,0.814461976,0.145282951,0.243153074,0.271814611,0.225239613,0.146683473,0.209566685,automl\GBM_AutoMl_888
1369,0.01,7,8,0.625,14,0.658749873,0.781101753,0.149402625,0.180976509,0.272428924,0.135250302,0.126674019,0.184276874,automl\GBM_AutoMl_1369
1056,0.01,6,8,0.5,11,0.658691649,0.801438666,0.146564372,0.222339218,0.334510472,0.166253591,0.137072633,0.20223152,automl\GBM_AutoMl_1056
1106,0.01,6,9,0.5,11,0.658691649,0.801438666,0.146564372,0.222339218,0.334510472,0.166253591,0.137072633,0.20223152,automl\GBM_AutoMl_1106
1156,0.01,6,10,0.5,11,0.658691649,0.801438666,0.146564372,0.222339218,0.334510472,0.166253591,0.137072633,0.20223152,automl\GBM_AutoMl_1156
644,0.01,5,5,1,9,0.658455356,0.826156987,0.141650786,0.271731484,0.319524093,0.247835179,0.154718765,0.221046708,automl\GBM_AutoMl_644
694,0.01,5,6,1,9,0.658455356,0.826156987,0.141650786,0.271731484,0.319524093,0.247835179,0.154718765,0.221046708,automl\GBM_AutoMl_694
744,0.01,5,7,1,9,0.658455356,0.826156987,0.141650786,0.271731484,0.319524093,0.247835179,0.154718765,0.221046708,automl\GBM_AutoMl_744
794,0.01,5,8,1,9,0.658455356,0.826156987,0.141650786,0.271731484,0.319524093,0.247835179,0.154718765,0.221046708,automl\GBM_AutoMl_794
844,0.01,5,9,1,9,0.658455356,0.826156987,0.141650786,0.271731484,0.319524093,0.247835179,0.154718765,0.221046708,automl\GBM_AutoMl_844
894,0.01,5,10,1,9,0.658455356,0.826156987,0.141650786,0.271731484,0.319524093,0.247835179,0.154718765,0.221046708,automl\GBM_AutoMl_894
838,0.01,5,9,0.875,13,0.65825291,0.813685725,0.145603548,0.244459256,0.274244674,0.225843369,0.146525918,0.20938872,automl\GBM_AutoMl_838
664,0.01,5,6,0.625,9,0.657999787,0.824830752,0.143363642,0.210252746,0.337586138,0.14658605,0.105876792,0.160784783,automl\GBM_AutoMl_664
1318,0.01,7,7,0.625,13,0.65789281,0.795778736,0.147326369,0.189634748,0.289241875,0.139831185,0.117378289,0.172753623,automl\GBM_AutoMl_1318
806,0.01,5,9,0.5,11,0.657871499,0.814442866,0.143511737,0.245035339,0.402789774,0.146438817,0.140223728,0.205590206,automl\GBM_AutoMl_806
1069,0.01,6,8,0.625,14,0.657747849,0.805195982,0.146667239,0.216542344,0.30287015,0.162587465,0.131085552,0.189004998,automl\GBM_AutoMl_1069
1009,0.01,6,7,0.5,14,0.657688298,0.811771822,0.145408832,0.229795582,0.357483408,0.149990691,0.134709311,0.194185782,automl\GBM_AutoMl_1009
502,0.01,4,9,0.5,7,0.657651126,0.828235426,0.140036288,0.226112259,0.373732644,0.152302066,0.109973216,0.168517624,automl\GBM_AutoMl_502
552,0.01,4,10,0.5,7,0.657651126,0.828235426,0.140036288,0.226112259,0.373732644,0.152302066,0.109973216,0.168517624,automl\GBM_AutoMl_552
1107,0.01,6,9,0.5,12,0.657445138,0.799036017,0.148257377,0.213118598,0.298295539,0.170530128,0.130612888,0.19212051,automl\GBM_AutoMl_1107
1169,0.01,6,10,0.625,14,0.656675148,0.790575471,0.149221777,0.210602872,0.298104787,0.155914175,0.136442414,0.195949768,automl\GBM_AutoMl_1169
665,0.01,5,6,0.625,10,0.65645437,0.823526308,0.143545225,0.228642769,0.33356187,0.176183219,0.116117851,0.174479167,automl\GBM_AutoMl_665
966,0.01,6,6,0.625,11,0.656433975,0.822169456,0.144008859,0.216792106,0.329748364,0.160313978,0.109815661,0.16436741,automl\GBM_AutoMl_966
818,0.01,5,9,0.625,13,0.656358375,0.831954392,0.140448569,0.253351878,0.38405941,0.171659671,0.129667559,0.187279554,automl\GBM_AutoMl_818
867,0.01,5,10,0.625,12,0.656357698,0.815988595,0.143628582,0.230348319,0.336411096,0.17731693,0.12635891,0.183419097,automl\GBM_AutoMl_867
1157,0.01,6,10,0.5,12,0.656310135,0.795616415,0.148327008,0.219932833,0.314016135,0.172891183,0.134079092,0.197883967,automl\GBM_AutoMl_1157
714,0.01,5,7,0.625,9,0.656289591,0.824905613,0.143335326,0.21278559,0.339847677,0.149254546,0.102725697,0.156373666,automl\GBM_AutoMl_714
764,0.01,5,8,0.625,9,0.656289591,0.824905613,0.143335326,0.21278559,0.339847677,0.149254546,0.102725697,0.156373666,automl\GBM_AutoMl_764
814,0.01,5,9,0.625,9,0.656289591,0.824905613,0.143335326,0.21278559,0.339847677,0.149254546,0.102725697,0.156373666,automl\GBM_AutoMl_814
864,0.01,5,10,0.625,9,0.656289591,0.824905613,0.143335326,0.21278559,0.339847677,0.149254546,0.102725697,0.156373666,automl\GBM_AutoMl_864
452,0.01,4,8,0.5,7,0.656179486,0.82808882,0.140121092,0.225778548,0.372255987,0.152539828,0.105719237,0.162528763,automl\GBM_AutoMl_452
1159,0.01,6,10,0.5,14,0.65603943,0.784720278,0.150114507,0.20940093,0.284974534,0.162167428,0.137702852,0.19895288,automl\GBM_AutoMl_1159
1017,0.01,6,7,0.625,12,0.655916598,0.805923542,0.146417604,0.209702262,0.315932228,0.156587279,0.118323617,0.173862716,automl\GBM_AutoMl_1017
819,0.01,5,9,0.625,14,0.655609934,0.839598837,0.138144328,0.255404927,0.401741663,0.163944467,0.121947377,0.176390155,automl\GBM_AutoMl_819
926,0.01,6,5,0.75,11,0.655598264,0.821858048,0.144849641,0.249104077,0.318771653,0.214270289,0.134551757,0.194488727,automl\GBM_AutoMl_926
976,0.01,6,6,0.75,11,0.655598264,0.821858048,0.144849641,0.249104077,0.318771653,0.214270289,0.134551757,0.194488727,automl\GBM_AutoMl_976
1379,0.01,7,8,0.75,14,0.65555583,0.801522568,0.149440146,0.20278446,0.264317298,0.164326437,0.117535844,0.172925359,automl\GBM_AutoMl_1379
