,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,16
1722,0.01,6,0.7,1,1,0.8,0.6,0.750232906,0.870512791,0.148568434,0.225543359,0.292961434,0.187018744,0.438632425,0.504530627,automl\Xgboost_AutoMl_1722
2906,0.055,6,0.3,0.6,0.866666667,1,1,0.799370881,0.870496787,0.121970219,0.119095485,0.143241433,0.099778726,0.518827793,0.568052441,automl\Xgboost_AutoMl_2906
954,0.01,5,0.566666667,0.866666667,0.866666667,0.6,0.6,0.707711892,0.87047959,0.155225935,0.2518644,0.337908435,0.208842382,0.286434536,0.367458312,automl\Xgboost_AutoMl_954
4014,0.1,4,0.7,1,0.866666667,0.6,0.6,0.794629692,0.870476291,0.120118568,0.127461221,0.143783846,0.111138596,0.510319836,0.555622266,automl\Xgboost_AutoMl_4014
3707,0.1,4,0.433333333,0.866666667,1,1,1,0.786489947,0.870453102,0.12068366,0.109678091,0.117508546,0.102630683,0.438002206,0.505868438,automl\Xgboost_AutoMl_3707
4753,0.1,6,0.433333333,0.6,0.6,0.6,0.8,0.773304491,0.870446694,0.122017144,0.201856982,0.314121541,0.100818879,0.512840712,0.546645394,automl\Xgboost_AutoMl_4753
3468,0.1,4,0.3,0.6,0.733333333,0.8,0.6,0.747266153,0.870424782,0.121822672,0.207586437,0.301579367,0.1229928,0.380809831,0.448048939,automl\Xgboost_AutoMl_3468
4330,0.1,5,0.566666667,0.6,0.733333333,0.6,0.8,0.773415831,0.870419367,0.118285679,0.162804204,0.223091717,0.108545443,0.444619505,0.50433384,automl\Xgboost_AutoMl_4330
784,0.01,5,0.433333333,0.733333333,1,0.6,0.8,0.732344701,0.870411574,0.15701655,0.245077751,0.284820139,0.225206557,0.386639357,0.461061531,automl\Xgboost_AutoMl_784
2260,0.055,4,0.7,0.866666667,1,0.6,0.8,0.747134006,0.870370795,0.122539757,0.125655381,0.146791452,0.108746524,0.288955412,0.366360368,automl\Xgboost_AutoMl_2260
4042,0.1,5,0.3,0.6,0.733333333,0.6,0.8,0.770368241,0.870370139,0.119990988,0.170865573,0.226033033,0.12121486,0.443989286,0.501959387,automl\Xgboost_AutoMl_4042
1072,0.01,5,0.7,0.733333333,1,0.6,0.8,0.740203484,0.870362015,0.156704337,0.225055603,0.271027433,0.202069689,0.398928628,0.472211861,automl\Xgboost_AutoMl_1072
640,0.01,5,0.3,0.733333333,1,0.6,0.8,0.732392815,0.870359621,0.157029812,0.244820081,0.284820139,0.224820051,0.386639357,0.461061531,automl\Xgboost_AutoMl_640
3692,0.1,4,0.433333333,0.866666667,0.866666667,0.6,1,0.762408246,0.870340443,0.120698985,0.206045796,0.306867572,0.115306197,0.435796439,0.506037322,automl\Xgboost_AutoMl_3692
