,学习率,叶子节点数量,叶子节点最小样本数量,子采样率,特征采样率,最大深度,max_bin,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,15,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,24
823,0.95,9,19,1,0.3,5,60,0.884807673,0.94535552,0.092889063,0.124648601,0.077440079,0.140912573,0.882621711,0.775846548,automl\lightGBM_AutoMl2021_823,0.807813456,0.887147426,0.102602557,0.112917834,0.136322342,0.10729697,0.699115044,0.612461,automl\lightGBM_AutoMl2023_823
1190,0.95,10,12,0.6,0.5,8,100,0.88450709,0.955624631,0.09320431,0.146153603,0.124901077,0.154751,0.941704742,0.773972159,automl\lightGBM_AutoMl2021_1190,0.783556717,0.864829061,0.117731637,0.130377272,0.212910604,0.107475965,0.712928988,0.58460177,automl\lightGBM_AutoMl2023_1190
1232,0.95,10,12,0.7,0.5,8,100,0.88450709,0.955624631,0.09320431,0.146153603,0.124901077,0.154751,0.941704742,0.773972159,automl\lightGBM_AutoMl2021_1232,0.783556717,0.864829061,0.117731637,0.130377272,0.212910604,0.107475965,0.712928988,0.58460177,automl\lightGBM_AutoMl2023_1232
1274,0.95,10,12,0.8,0.5,8,100,0.88450709,0.955624631,0.09320431,0.146153603,0.124901077,0.154751,0.941704742,0.773972159,automl\lightGBM_AutoMl2021_1274,0.783556717,0.864829061,0.117731637,0.130377272,0.212910604,0.107475965,0.712928988,0.58460177,automl\lightGBM_AutoMl2023_1274
1316,0.95,10,12,1,0.5,8,100,0.88450709,0.955624631,0.09320431,0.146153603,0.124901077,0.154751,0.941704742,0.773972159,automl\lightGBM_AutoMl2021_1316,0.783556717,0.864829061,0.117731637,0.130377272,0.212910604,0.107475965,0.712928988,0.58460177,automl\lightGBM_AutoMl2023_1316
2366,0.95,11,19,0.6,0.5,8,100,0.884195467,0.939605446,0.094254732,0.108303786,0.08539646,0.116398886,0.884354813,0.769167523,automl\lightGBM_AutoMl2021_2366,0.857427183,0.928700101,0.072394455,0.070846094,0.094367747,0.066271015,0.740772717,0.712698578,automl\lightGBM_AutoMl2023_2366
2408,0.95,11,19,0.7,0.5,8,100,0.884195467,0.939605446,0.094254732,0.108303786,0.08539646,0.116398886,0.884354813,0.769167523,automl\lightGBM_AutoMl2021_2408,0.857427183,0.928700101,0.072394455,0.070846094,0.094367747,0.066271015,0.740772717,0.712698578,automl\lightGBM_AutoMl2023_2408
2450,0.95,11,19,0.8,0.5,8,100,0.884195467,0.939605446,0.094254732,0.108303786,0.08539646,0.116398886,0.884354813,0.769167523,automl\lightGBM_AutoMl2021_2450,0.857427183,0.928700101,0.072394455,0.070846094,0.094367747,0.066271015,0.740772717,0.712698578,automl\lightGBM_AutoMl2023_2450
2492,0.95,11,19,1,0.5,8,100,0.884195467,0.939605446,0.094254732,0.108303786,0.08539646,0.116398886,0.884354813,0.769167523,automl\lightGBM_AutoMl2021_2492,0.857427183,0.928700101,0.072394455,0.070846094,0.094367747,0.066271015,0.740772717,0.712698578,automl\lightGBM_AutoMl2023_2492
340,0.95,9,12,0.6,0.5,5,60,0.883773109,0.937722682,0.094362484,0.112292643,0.058755139,0.129799614,0.858830944,0.771495294,automl\lightGBM_AutoMl2021_340,0.862452632,0.929328001,0.07620591,0.083560305,0.060436508,0.08810322,0.748543061,0.717047452,automl\lightGBM_AutoMl2023_340
