,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,16
1761,0.2,5,0.5,1,0.5,1,0.5,0.801903598,0.877686374,0.125697479,0.142324428,0.147342824,0.140658283,0.737795993,0.611303954,automl\Xgboost_AutoMl_1761
977,0.1,5,0.5,0.5,0.5,0.8,1,0.80247148,0.890129024,0.109602564,0.10982788,0.069569394,0.118151654,0.602550091,0.6111496,automl\Xgboost_AutoMl_977
979,0.1,5,0.5,0.5,0.5,1,0.8,0.80247148,0.890129024,0.109602564,0.10982788,0.069569394,0.118151654,0.602550091,0.6111496,automl\Xgboost_AutoMl_979
1178,0.1,5,1.1,0.8,0.8,1,1,0.806218512,0.876134029,0.107349293,0.094634084,0.052275265,0.103466509,0.604462659,0.610973028,automl\Xgboost_AutoMl_1178
2129,0.2,6,1.1,0.5,1,0.8,1,0.80437413,0.88494023,0.106306704,0.089673581,0.114772257,0.083637242,0.641256831,0.61080026,automl\Xgboost_AutoMl_2129
2131,0.2,6,1.1,0.5,1,1,0.8,0.80437413,0.88494023,0.106306704,0.089673581,0.114772257,0.083637242,0.641256831,0.61080026,automl\Xgboost_AutoMl_2131
512,0.075,6,0.5,0.5,1,1,1,0.798936618,0.886645665,0.106617655,0.104758197,0.071135069,0.11106101,0.578779599,0.610705362,automl\Xgboost_AutoMl_512
9,0.075,4,0.5,0.5,0.8,0.5,0.5,0.79290438,0.913550316,0.097078881,0.115328666,0.127852853,0.113030404,0.573679417,0.610456946,automl\Xgboost_AutoMl_9
1830,0.2,5,0.8,0.8,1,0.8,0.5,0.802395282,0.879206956,0.119059465,0.12930622,0.122894437,0.131175348,0.695992714,0.610432143,automl\Xgboost_AutoMl_1830
1454,0.1,6,1.1,1,1,0.8,1,0.8078659,0.884939506,0.106188353,0.09212453,0.102857257,0.089426361,0.653005464,0.610420569,automl\Xgboost_AutoMl_1454
1456,0.1,6,1.1,1,1,1,0.8,0.8078659,0.884939506,0.106188353,0.09212453,0.102857257,0.089426361,0.653005464,0.610420569,automl\Xgboost_AutoMl_1456
2110,0.2,6,1.1,0.5,0.5,0.8,0.8,0.808669213,0.891416251,0.113867621,0.119958415,0.135238255,0.115153434,0.719307832,0.610355487,automl\Xgboost_AutoMl_2110
405,0.075,5,1.1,0.5,0.5,0.5,0.5,0.790266035,0.916118039,0.099813729,0.119886163,0.130655143,0.117978643,0.56557377,0.610259434,automl\Xgboost_AutoMl_405
667,0.075,6,1.1,0.5,1,0.5,0.8,0.79894511,0.876965037,0.110416825,0.104588003,0.056674116,0.113582707,0.578415301,0.609969266,automl\Xgboost_AutoMl_667
577,0.075,6,0.8,0.5,0.8,0.5,0.8,0.796133358,0.891183564,0.102195561,0.094035195,0.088974178,0.094914256,0.560928962,0.609892558,automl\Xgboost_AutoMl_577
323,0.075,5,0.5,1,1,1,1,0.80508493,0.878042688,0.104050214,0.086478437,0.053862587,0.092851865,0.587340619,0.609517509,automl\Xgboost_AutoMl_323
2035,0.2,6,0.8,0.5,0.8,0.5,0.8,0.806556927,0.88802815,0.110088993,0.103370155,0.121622679,0.098360413,0.676958106,0.609437134,automl\Xgboost_AutoMl_2035
1963,0.2,6,0.5,0.5,1,0.5,0.8,0.804385254,0.882723598,0.115318172,0.115315822,0.145926736,0.105916055,0.710746812,0.609401843,automl\Xgboost_AutoMl_1963
1840,0.2,5,0.8,1,0.5,0.8,0.8,0.795327432,0.860032082,0.132149935,0.146844995,0.143157548,0.148032348,0.725136612,0.608948375,automl\Xgboost_AutoMl_1840
1315,0.1,6,0.8,0.5,1,0.5,0.8,0.809208759,0.894680259,0.104698492,0.0918291,0.046446967,0.101014518,0.594899818,0.608647037,automl\Xgboost_AutoMl_1315
485,0.075,5,1.1,1,1,1,1,0.800785116,0.877784265,0.10282854,0.082890723,0.064461813,0.086220853,0.56848816,0.608619345,automl\Xgboost_AutoMl_485
1988,0.2,6,0.5,0.8,0.8,1,1,0.801833733,0.883715673,0.108127151,0.099488616,0.130351814,0.091556672,0.656921676,0.608332631,automl\Xgboost_AutoMl_1988
644,0.075,6,0.8,1,1,0.8,1,0.803340997,0.874158149,0.108389326,0.091035933,0.060261617,0.09733915,0.597358834,0.608215875,automl\Xgboost_AutoMl_644
646,0.075,6,0.8,1,1,1,0.8,0.803340997,0.874158149,0.108389326,0.091035933,0.060261617,0.09733915,0.597358834,0.608215875,automl\Xgboost_AutoMl_646
2048,0.2,6,0.8,0.5,1,0.8,1,0.804810111,0.880962246,0.105874709,0.085857069,0.09872579,0.08285785,0.630145719,0.608210267,automl\Xgboost_AutoMl_2048
