,学习率,最大树深度,最小采样叶子节点,样本采样率,最大叶子节点,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,13
524,0.0625,7,6,1,14,0.85279771,0.925921966,0.091874167,0.119270415,0.057937511,0.133717862,0.744535519,0.715410869,automl\GBM_AutoMl_524
583,0.0625,8,6,1,13,0.852717604,0.924411132,0.093473782,0.11936354,0.040027084,0.137226572,0.72996357,0.714795327,automl\GBM_AutoMl_583
1458,0.1,8,5,0.7,12,0.852680229,0.927076442,0.101527497,0.146292669,0.118868102,0.155759179,0.857377049,0.698316149,automl\GBM_AutoMl_1458
1019,0.0875,5,7,1,14,0.852566765,0.915655021,0.106298789,0.139899168,0.09397878,0.154569722,0.835701275,0.704221028,automl\GBM_AutoMl_1019
707,0.075,5,7,0.6,14,0.852546689,0.914278707,0.10518877,0.131868758,0.044499521,0.156200862,0.782513661,0.700044812,automl\GBM_AutoMl_707
370,0.0625,5,4,0.9,13,0.85248711,0.921812399,0.10848731,0.150127645,0.089372744,0.170277956,0.842622951,0.698475011,automl\GBM_AutoMl_370
1353,0.1,6,6,0.7,12,0.852457065,0.926450838,0.101128597,0.136469606,0.118349038,0.142470292,0.844080146,0.700158646,automl\GBM_AutoMl_1353
208,0.05,7,5,1,13,0.852444518,0.933367834,0.086522604,0.115099066,0.068545479,0.12518754,0.727595628,0.723870792,automl\GBM_AutoMl_208
1330,0.1,6,4,0.9,13,0.852410582,0.928293337,0.104847491,0.152137054,0.119608026,0.163475446,0.862932605,0.69983012,automl\GBM_AutoMl_1330
1197,0.0875,8,7,1,12,0.852311671,0.920909095,0.092442575,0.104387303,0.060314889,0.114944473,0.742076503,0.708029197,automl\GBM_AutoMl_1197
904,0.0875,4,4,0.7,13,0.852270608,0.924320447,0.106569025,0.145275521,0.112214434,0.156143064,0.847814208,0.705547976,automl\GBM_AutoMl_904
622,0.075,4,5,0.8,13,0.8522442,0.908692781,0.104228797,0.11961,0.041119026,0.140427823,0.768032787,0.701697454,automl\GBM_AutoMl_622
669,0.075,5,4,0.9,12,0.851901304,0.925492113,0.103947872,0.142460904,0.102577095,0.155057254,0.831056466,0.703845116,automl\GBM_AutoMl_669
1312,0.1,5,7,0.8,13,0.851845605,0.920744701,0.105683808,0.143612119,0.101384225,0.157231967,0.837887067,0.703122015,automl\GBM_AutoMl_1312
898,0.075,8,7,1,13,0.851798288,0.920129314,0.095471955,0.114251309,0.04219941,0.131804976,0.740801457,0.701781632,automl\GBM_AutoMl_898
