,字段名称,偏离度,完整度,自编写,person,spearman,kendall
216,负责人主属部门,0.80036195,0.602332703,0.958493517,0.606511964,0.600376328,0.545329854
57,相关SDR,0,0.586727048,0.849091028,0.050004811,0.001102295,0.001000475
177,行为积分,0,0.571447188,0.849188767,0.022109026,0.112009577,0.098798756
140,官网线索来源渠道,0,0.568710497,0.849058448,0.033895535,0.033795437,0.031161584
78,落地页名称_唯一性ID,0.991709399,0.553593536,0,0,0,0
90,落地页URL,0.991709399,0.553593536,0,0,0,0
79,落地页名称,0.769630032,0.553593536,0.850100997,0.019148755,0.015388203,0.01394229
64,线索无效原因,0.260435855,0.55326774,0.849058448,0.109570789,0.025879029,0.023118998
11,CRM三大行业,0,0.537922721,0.855444061,0.248076354,0.028629975,0.027072718
224,领取/分配时间,0.99883883,0.477748094,0,0,0,0
223,分配管理员,0.398274092,0.477650355,0.886394735,0.409400099,0.084459641,0.08091097
1,企业性质,0,0.444614583,0.850589692,0.188544161,0.064666441,0.064575139
94,推广渠道,0.834603368,0.44204079,0.849188767,0.025461854,0.083169466,0.077736597
12,二级行业-2022,0,0.406659282,0.849058448,0.023174508,0.099135408,0.088487016
23,市场活动名称_唯一性ID,0.880671978,0.405486414,0.850589692,0.207577392,0.13666506,0.116372872
24,市场活动名称,0.880671978,0.405486414,0.850589692,0.225162714,0.035034646,0.02983266
41,市场活动类型,0,0.405486414,0.849091028,0.125495369,0.120781054,0.108328835
13,三级行业-2022,0.60182154,0.387535023,0.853815078,0.027070084,0.103433696,0.087431059
122,官网线索来源站点,0,0.347331726,0.849058448,0.005915694,0.165716995,0.158925778
46,营销推广来源_唯一性ID,0.990850836,0.30318629,0,0,0,0
47,营销推广来源,0.990850836,0.30318629,0,0,0,0
176,贵公司是否是纷享销客CRM用户,0,0.291164397,0.849058448,0.005762982,0.325193593,0.325193593
199,客户画像_唯一性ID,0.73446475,0.26897765,0.849253926,0.019980558,0.098827944,0.084058477
200,客户画像,0.73446475,0.26897765,0.849253926,0.032513142,0.029143044,0.024787725
14,四级行业-2022,0.883313557,0.258193784,0.84980778,0.077517799,0.011206099,0.009350583
15,行业旅程-2022,0,0.243695836,0.849058448,0.059776367,0.023250783,0.022510562
84,细分类目（统计）,0.808367154,0.238776308,0.849123607,0.001393083,0.065448584,0.055143999
89,ABM目录营销客户标记,0,0.235844139,0.849058448,0.192938418,0.075741291,0.068514569
4,职务,0.992355698,0.214080928,0,0,0,0
173,企业库-战区,0,0.20534958,0.849058448,0.156554915,0.134250224,0.132178372
91,职工参保人数,0,0.179904867,0.908386004,0.065861621,0.49677377,0.480329763
147,官网访问来源网址-多行,0.996660325,0.175702092,0,0,0,0
194,国家,0,0.17397537,0.88398384,0.395815042,,
195,省,0.600717652,0.173388936,0.884309637,0.318977727,0.010035736,0.00858804
196,市,0.945232382,0.173356356,0,0,0,0
44,战区,0,0.152537955,0.849188767,0.289047482,0.005718894,0.005714054
226,转换时间,0.997157392,0.150941552,0,0,0,0
142,转换周期,0,0.150941552,1,0.273558939,0.993079618,0.95699411
9,预计使用端口数量,0,0.148498078,0.924415195,0.079593201,0.692657644,0.670281311
145,投放推广渠道,0,0.145891705,0.849058448,0.01955252,0.055975059,0.054769606
16,企业规模,0,0.143480811,0.849058448,0.051762943,0.022782087,0.02032137
77,关键词,0.97013808,0.142438262,0,0,0,0
95,转MQL时间,0.996914505,0.140125106,0,0,0,0
197,区,0.979309227,0.139375774,0,0,0,0
